"","HTP","CH Haguenau","CH Colmar","CH Mulhouse","CH Belfort","CH Epinal","Bar-le-Duc","CH Forbach","CH Metz (Mercy)","CHU Nancy (Central)"
"Geiswasser",67,85.9,28.9,36.8,55,114.8,189.1,130.8,151.6,134.2
"Grussenheim",52.1,70.9,18.9,40.8,59.1,103.6,174.2,115.9,136.6,119.2
"Heiteren",61.9,80.8,23.8,36.8,55.5,109.7,184,125.7,146.5,129.1
"Hettenschlag",56.1,75,18,32.7,50.9,103.8,178.2,119.9,140.7,123.3
"Holtzwihr",49.2,68.1,13,36.5,54.7,97.8,171.3,113,133.8,116.4
"Houssen",46.2,65,10.1,33.6,51.8,93,168.3,110,130.7,113.3
"Jebsheim",53.1,72,17,38.9,57.1,101.7,175.2,116.9,137.7,120.3
"Kunheim",53.6,72.4,21,42.4,60.6,105.8,175.6,117.4,138.2,120.7
"Logelheim",52.7,71.5,14.5,29.3,47.5,100.4,174.8,116.5,137.3,119.8
"Muntzenheim",51.5,70.3,14.2,35.5,53.7,100,173.5,115.3,136,118.6
"Nambsheim",68.6,87.5,30.5,32.3,50.5,113.3,190.7,132.4,153.2,135.8
"Neuf-Brisach",57.1,76,19,36.5,54.7,104.9,179.2,121,141.7,124.3
"Obersaasheim",61.9,80.7,23.7,40.5,58.7,109.6,184,125.7,146.5,129
"Riedwihr",48.9,67.7,12.7,36.1,54.4,97.4,170.9,112.7,133.4,116
"Sainte-Croix-en-Plaine",50.1,68.9,11.3,26.1,44.3,97.2,172.2,113.9,134.6,117.2
"Sundhoffen",50.4,69.2,12.2,29.9,48.1,98.1,172.5,114.2,135,117.5
"Urschenheim",54.6,73.5,17.2,37.6,55.9,103.2,176.7,118.5,139.2,121.8
"Vogelgrun",59.9,78.8,21.8,38.6,56.8,107.7,182,123.8,144.5,127.1
"Weckolsheim",57.9,76.8,19.8,33,51.2,105.7,180,121.8,142.5,125.1
"Wickerschwihr",51.2,70,13.5,34.8,53,99.7,173.3,115,135.8,118.3
"Wolfgantzen",54.5,73.3,16.3,35.7,53.9,102.2,176.6,118.3,139.1,121.6
"Ammerschwihr",53,71.8,8.7,39.4,53,84.9,164.3,116.8,137.6,109.3
"Aubure",58.9,77.8,30.2,56.9,74.4,87,152.1,122.7,133.3,97.1
"Beblenheim",48.2,67.1,11.7,38.7,56,88.8,162.5,112.1,132.8,107.5
"Bennwihr",47.8,66.7,12.1,39.1,56.4,89.2,162.1,111.7,132.4,107.1
"Bergheim",40.7,59.6,16.8,39.9,58.1,93.8,158.8,104.5,125.3,103.9
"Breitenbach-Haut-Rhin",70.3,89.2,24.3,54.9,67,76.5,170.9,134.2,152.1,114.7
"Eguisheim",53.8,72.7,7.7,33.5,45.6,89.7,172.7,117.7,138.4,117.8
"Eschbach-au-Val",67.3,86.2,21.3,51.9,64,75.2,169.6,131.1,150.9,113.4
"Fréland",63,81.9,20.3,50.9,64.5,79.4,158.7,126.9,139.9,103.8
"Griesbach-au-Val",63.3,82.1,17.2,47.9,59.9,76,170.4,127.1,147.8,114.2
"Gueberschwihr",59.4,78.3,13.6,28.8,40.9,95.8,178.8,123.3,144,123.8
"Guémar",38.8,57.6,15.3,38.4,56.6,95.8,160.8,102.6,123.3,105.9
"Gundolsheim",61,79.8,21.4,24.1,36.2,92.7,183.1,124.8,145.5,128.1
"Gunsbach",63.6,82.4,17.5,48.2,60.3,76.3,170.7,127.4,148.2,114.5
"Hattstatt",58.2,77.1,12.4,30.2,42.2,94.5,177.6,122.1,142.8,122.6
"Herrlisheim-près-Colmar",57.2,76,11.4,30.1,42.2,93.5,176.5,121,141.7,121.5
"Hohrod",66.7,85.5,20.6,51.3,63.4,72.4,166.8,130.5,148.1,110.6
"Hunawihr",47,65.9,15.5,42.3,59.8,92.6,159.8,110.8,131.6,104.8
"Husseren-les-Châteaux",58.6,77.5,12.4,33.9,46,94.5,177.5,122.5,143.2,122.6
"Illhaeusern",41.2,60.1,17.8,40.9,59.1,98.2,163.3,105,125.8,108.4
"Ingersheim",50.1,68.9,5.8,36.5,50,86.8,166.1,113.9,134.7,111.2
"Katzenthal",52.4,71.3,7.6,38.8,51.9,88.6,168.6,116.3,137,113.7
"Kaysersberg",53.5,72.4,10.7,41.4,55,80.7,160,117.3,138.1,105.1
"Kientzheim",51.1,70,10.5,40.5,54.7,83.7,163,114.9,135.7,108.1
"Labaroche",65.7,84.5,21.4,52.1,65.6,87.5,166.8,129.5,148.1,111.9
"Lapoutroie",64,82.8,21.2,51.9,65.4,73.3,152.7,127.8,133.9,97.7
"Le Bonhomme",68,86.9,25.2,55.9,69.5,67.1,146.5,131.8,127.7,91.5
"Lièpvre",43.7,62.5,30.5,53.6,71.8,76.1,141.1,107.5,122.4,86.2
"Luttenbach-près-Munster",71.8,90.6,25.7,56.4,68.4,77.9,172.3,135.6,153.6,116.1
"Metzeral",73,91.9,27,57.7,69.7,79.2,173.6,136.9,154.9,117.4
"Mittelwihr",47.8,66.7,12.1,39.1,56.4,89.2,162.1,111.7,132.4,107.1
"Muhlbach-sur-Munster",75.4,94.2,29.3,60,72.1,81.5,176,139.2,157.2,119.7
"Munster",66.7,85.5,20.6,51.3,63.4,72.4,166.8,130.5,148.1,110.6
"Niedermorschwihr",52.4,71.3,7.6,38.8,51.9,88.6,168.6,116.3,137,113.7
"Obermorschwihr",58.2,77.1,12.4,30.2,42.2,94.5,177.6,122.1,142.8,122.6
"Orbey",65.1,83.9,22.3,53,66.5,76.8,156.1,128.9,137.4,101.2
"Osenbach",71.9,90.7,26.9,33.3,45.4,96,190.4,135.7,156.4,134.2
"Ostheim",44.5,63.3,10.3,33.4,51.6,93.6,166.6,108.3,129.1,111.6
"Pfaffenheim",59.6,78.5,13.8,27.3,39.3,95.8,178.9,123.4,144.2,124
"Ribeauvillé",45.1,64,19.5,43.2,61.4,91.1,156.2,109,129.7,101.3
"Riquewihr",49.8,68.7,17,43.9,61.2,94,162.6,113.6,134.4,107.6
"Rodern",41.3,60.1,21.6,44.7,62.9,90,155.1,105.1,125.9,100.2
"Rombach-le-Franc",46.8,65.6,33.6,56.7,74.9,79.8,144.8,110.6,126.1,89.9
"Rorschwihr",39.2,58,19.5,42.6,60.8,90.9,156,103,123.8,101
"Rouffach",62.1,80.9,17.7,26.7,38.8,95.3,182.8,125.9,146.7,127.9
"Sainte-Croix-aux-Mines",50.5,69.3,37.3,60.4,78.6,74.2,139.3,114.3,120.5,84.3
"Sainte-Marie-aux-Mines",52.5,71.3,38.9,62.4,80.6,72.4,137.5,116.3,118.7,82.6
"Saint-Hippolyte",39,57.9,19.4,42.4,60.6,88.8,153.9,102.9,123.6,99
"Sigolsheim",49.5,68.4,10.5,39,54.8,84.6,164,113.4,134.1,109
"Sondernach",83.3,102.2,37.3,67.9,80,89.4,183.9,147.1,165.1,127.7
"Soultzbach-les-Bains",61.1,79.9,15,45.7,57.7,79.4,173.8,124.9,145.6,117.6
"Soultzeren",71.3,90.1,25.2,55.9,68,64.6,159.1,135.1,140.3,102.9
"Soultzmatt",67.6,86.5,22.7,29.1,41.2,97.7,187.8,131.5,152.2,132.9
"Stosswihr",67.9,86.8,21.9,52.5,64.6,68.1,162.6,131.7,143.8,106.4
"Thannenkirch",48,66.8,28.6,51.6,69.9,87.7,152.8,111.8,132.5,97.8
"Turckheim",52,70.8,5.9,37.7,49.8,85.6,170.8,115.8,136.5,115.9
"Walbach",56.7,75.6,10.7,42.3,54.4,79.9,174.3,120.6,141.3,118.1
"Wasserbourg",68.1,86.9,22,52.7,64.8,86.4,180.8,131.9,152.7,124.6
"Westhalten",63.3,82.1,18.3,24.8,36.8,93.3,183.5,127.1,147.9,128.5
"Wettolsheim",51.7,70.6,4.6,34.9,46.9,87.5,170.6,115.5,136.3,115.6
"Wihr-au-Val",60.2,79.1,14.2,44.8,56.9,76.7,171.2,124,144.8,115
"Wintzenheim",55.4,74.2,9.3,39.4,51.5,87.5,174.2,119.2,140,119.3
"Zellenberg",47,65.9,15.5,42.3,59.8,92.6,159.8,110.8,131.6,104.8
"Zimmerbach",56.7,75.6,10.7,42.3,54.4,79.9,174.3,120.6,141.3,118.1
"Altenach",90.6,109.4,48.8,29.8,26.2,99.4,194.4,154.4,175.2,138.2
"Altkirch",88.6,107.5,49.8,20.7,35.4,101.5,196.5,152.5,173.2,140.3
"Ammertzwiller",80.2,99,38.4,20.4,23.9,90.1,185.1,144,164.7,128.9
"Aspach",87.2,106,45.9,21.2,31.4,97.6,192.6,151,171.7,136.4
"Aspach-le-Haut",77.5,96.3,32.5,19.8,24.8,77,172.1,141.3,153.3,115.8
"Ballersdorf",90.7,109.6,49.5,23.8,28.2,101.1,196.2,154.6,175.3,140
"Balschwiller",81.7,100.6,40,22,25.5,91.6,186.7,145.5,166.3,130.5
"Bellemagny",82.2,101,39,22.5,19.8,90.7,185.7,146,166.8,129.5
"Bendorf",103,121.9,64.7,42.2,52.2,117.3,212.3,166.9,187.6,156.1
"Berentzwiller",87.9,106.7,49.5,29.4,48.2,113.8,208.8,151.7,172.4,152.6
"Bettendorf",94.5,113.4,56.2,26.6,42,108.2,203.2,158.4,179.1,147
"Bettlach",94.6,113.4,56.2,40.1,58.2,123.5,216.7,158.4,179.1,161.7
"Biederthal",100.8,119.7,62.4,46.3,67,129.8,222.9,164.6,185.4,167.9
"Bisel",100.8,119.6,62.4,32.9,39.7,104.8,199.8,164.6,181,143.6
"Bitschwiller-les-Thann",82.9,101.7,37.9,25.2,32.3,71,166,146.7,147.3,109.8
"Bourbach-le-Bas",87.2,106.1,42.3,28.7,31.2,83.5,178.5,151,159.7,122.3
