"","HTP","CH Haguenau","CH Colmar","CH Mulhouse","CH Belfort","CH Epinal","Bar-le-Duc","CH Forbach","CH Metz (Mercy)","CHU Nancy (Central)"
"Beinheim",32.6,29.6,78.7,101.8,120,141.7,167.1,84.7,105.4,112.2
"Biblisheim",36.8,19,82.8,105.9,124.1,136.8,162.3,79.8,100.6,107.3
"Bitschhoffen",32.3,18.4,78.4,101.5,119.7,125.1,150.5,68.1,88.8,95.6
"Cleebourg",51.8,34,97.9,121,139.2,151.9,177.3,94.9,115.6,122.4
"Climbach",51.6,34.3,97.7,120.8,139,151.7,177.2,86.7,115.5,122.2
"Croettwiller",39.2,36.1,85.3,108.4,126.6,148.2,173.7,91.2,112,118.7
"Dambach",52.4,36.8,98.5,121.6,139.8,152.5,177.9,70.4,101.6,123
"Dieffenbach-lès-Woerth",42,24.7,88.1,111.2,129.4,142.1,167.5,83.4,105.8,112.6
"Durrenbach",35.5,18.1,81.6,104.6,122.9,135.5,161,78.5,99.3,106
"Engwiller",35.7,21.7,81.8,104.9,123.1,128.5,153.9,71.5,92.2,99
"Eschbach",32.7,17,78.8,101.8,120.1,132.7,158.2,75.7,96.5,103.2
"Forstheim",34.3,18.7,80.4,103.5,121.7,134.4,159.9,77.4,98.2,104.9
"Froeschwiller",40.5,23.2,86.6,109.7,127.9,140.6,166,76.7,104.3,111.1
"Goersdorf",40.9,23.6,87,110.1,128.3,141,166.4,82.3,104.7,111.5
"Gumbrechtshoffen",36,20.3,82.1,105.2,123.4,131.8,157.3,74.8,95.6,102.3
"Gundershoffen",32.8,17.2,78.9,102,120.2,132.9,158.3,75.9,96.7,103.4
"Gunstett",35.9,18.6,82,105.1,123.3,136,161.4,79,99.7,106.5
"Hatten",40.4,29.2,86.5,109.6,127.8,147,172.5,90,110.8,117.5
"Hegeney",33.7,16.3,79.8,102.8,121.1,133.7,159.2,76.7,97.5,104.2
"Hoffen",41.7,23.9,87.8,110.9,129.1,141.7,167.2,84.7,105.5,112.2
"Hunspach",43.3,25.5,89.4,112.5,130.7,143.4,168.8,86.4,107.1,113.9
"Ingolsheim",43.6,25.8,89.7,112.8,131,143.6,169.1,86.6,107.4,114.1
"Keffenach",43.9,26.1,90,113,131.3,143.9,169.4,86.9,107.7,114.4
"Kesseldorf",28.8,25.8,74.9,98,116.2,137.9,163.3,80.9,101.6,108.4
"Kindwiller",42.7,30.5,88.8,111.8,130,132.9,158.3,75.9,96.6,103.4
"Kutzenhausen",40.8,23,86.9,110,128.2,140.9,166.3,83.9,104.7,111.4
"Lampertsloch",43.5,25.7,89.6,112.7,130.9,143.6,169,86.4,107.3,114.1
"Langensoultzbach",41.9,24.6,88,111.1,129.3,142,167.4,82.4,105.8,112.5
"Laubach",31.6,16,77.7,100.8,119,131.7,157.2,74.7,95.5,102.2
"Lauterbourg",38.8,35.7,84.9,108,126.2,147.8,173.3,90.8,111.6,118.3
"La Walck",32.3,18.4,78.4,101.5,119.7,125.1,150.5,68.1,88.8,95.6
"Lembach",46.6,29.3,92.7,115.8,134,146.7,172.2,81.7,110.5,117.2
"Lobsann",43.5,25.7,89.6,112.7,130.9,143.6,169,86.6,107.3,114.1
"Memmelshoffen",43.2,25.4,89.3,112.4,130.6,143.2,168.7,86.3,107,113.8
"Merkwiller-Pechelbronn",38.7,20.9,84.8,107.9,126.1,138.7,164.2,81.7,102.5,109.3
"Mertzwiller",28.6,13,74.7,97.8,116,128.7,154.2,71.7,92.5,99.2
"Mietesheim",34.5,18.9,80.6,103.7,121.9,132.2,157.6,75.2,95.9,102.7
"Morsbronn-les-Bains",33.6,16.3,79.7,102.8,121,133.7,159.1,76.7,97.5,104.2
"Mothern",36.1,33.1,82.2,105.3,123.5,145.2,170.6,88.2,108.9,115.7
"Munchhausen",36.2,33.1,82.2,105.3,123.5,145.2,170.6,88.2,108.9,115.7
"Niederbronn-les-Bains",39.1,23.5,85.2,108.3,126.5,139.2,164.7,67.7,98.8,109.7
"Niederlauterbach",41.9,38.8,88,111,129.2,150.9,176.3,93.9,114.6,121.4
"Niederroedern",34.2,31.1,80.3,103.4,121.6,143.2,168.7,86.2,107,113.7
"Niedersteinbach",52.5,35.2,98.6,121.7,139.9,152.6,178,72.1,103.3,123.1
"Oberbronn",41.3,25.7,87.4,110.5,128.7,138.2,163.7,72.1,100.2,108.7
"Oberdorf-Spachbach",34.6,17.2,80.7,103.8,122,134.6,160.1,77.6,98.4,105.1
"Oberlauterbach",40.7,37.6,86.8,109.8,128.1,149.7,175.1,92.7,113.5,120.2
"Oberroedern",44.6,26.8,90.7,113.8,132,144.7,170.1,87.7,108.4,115.2
"Obersteinbach",55.6,38.2,101.7,124.8,143,155.6,181.1,70.4,101.6,126.1
"Offwiller",42.7,27.1,88.8,111.9,130.1,133.4,158.9,73.9,94.6,103.9
"Preuschdorf",43.3,25.5,89.4,112.5,130.7,143.3,168.8,85.9,107.1,113.8
"Reichshoffen",36.8,21.2,82.9,106,124.2,136.9,162.4,71.8,100.7,107.4
"Retschwiller",40,22.2,86.1,109.2,127.4,140,165.5,83,103.8,110.5
"Riedseltz",48.2,30.4,94.3,117.4,135.6,148.3,173.7,91.3,112,118.8
"Rittershoffen",42.1,25.4,88.2,111.3,129.5,143.2,168.7,86.2,107,113.8
"Rothbach",41.9,30.7,88,111,129.3,130.9,156.4,71.4,92.1,101.4
"Rott",54,36.2,100.1,123.2,141.4,154.1,179.5,96.5,117.8,124.6
"Salmbach",44.9,39.8,91,114.1,132.3,154,179.4,97,117.7,124.5
"Schaffhouse-près-Seltz",32.3,29.2,78.4,101.5,119.7,141.3,166.8,84.3,105.1,111.8
"Scheibenhard",38.3,35.2,84.4,107.5,125.7,147.3,172.8,90.3,111.1,117.8
"Schleithal",48.1,37.6,94.2,117.2,135.5,155.4,180.9,98.4,119.2,125.9
"Schoenenbourg",41.6,23.8,87.7,110.7,129,141.6,167.1,84.6,105.4,112.1
"Seltz",34.4,31.3,80.5,103.5,121.8,143.4,168.8,86.4,107.2,113.9
"Siegen",42.8,38.4,88.9,112,130.2,151.8,177.3,94.8,115.6,122.4
"Soultz-sous-Forêts",37.3,19.5,83.4,106.5,124.7,137.4,162.8,80.4,101.1,107.9
"Steinseltz",52.7,34.9,98.8,121.9,140.1,152.8,178.2,95.8,116.5,123.3
"Stundwiller",42.1,28.8,88.2,111.2,129.4,146.7,172.1,89.7,110.4,117.2
"Surbourg",34.4,16.6,80.5,103.6,121.8,134.5,159.9,77.5,98.2,105
"Trimbach",41.6,33.4,87.7,110.8,129,150.7,176.1,93.7,114.4,121.2
"Uberach",32.4,16.7,78.5,101.6,119.8,125.3,150.8,68.3,89.1,95.8
"Uhrwiller",39.1,24.7,85.2,108.3,126.5,129.4,154.8,72.4,93.1,99.9
"Uttenhoffen",34.5,18.9,80.6,103.7,121.9,132.2,157.6,75.2,95.9,102.7
"Walbourg",34.6,16.8,80.7,103.8,122,134.7,160.2,77.7,98.5,105.2
"Windstein",49.7,34,95.8,118.8,137.1,149.7,175.2,77.8,109,120.2
"Wingen",52.7,35.4,98.8,121.9,140.1,152.8,178.3,86.4,116.6,123.3
"Wintzenbach",36,33,82.1,105.2,123.4,145.1,170.5,88.1,108.8,115.6
"Wissembourg",52,34.2,98.1,121.2,139.4,152.1,177.5,94.2,115.8,122.6
"Woerth",36.8,19.4,82.9,106,124.2,136.8,162.3,79.8,100.6,107.3
"Zinswiller",39.7,24,85.8,108.9,127.1,135.6,161.1,74.3,96.9,106.2
"Auenheim",26.6,23.3,72.7,95.8,114,135.6,161.1,78.6,99.4,106.1
"Batzendorf",19.9,8.7,66,89.1,107.3,119.9,145.4,62.9,83.7,90.4
"Bernolsheim",23.1,19.2,69.2,92.3,110.5,114.4,139.8,57.4,78.2,84.9
"Berstheim",24.2,14.6,70.3,93.4,111.6,121.5,147,64.5,85.3,92
"Bietlenheim",19.9,19.1,66,89.1,107.3,128.3,153.8,71.3,92.1,98.8
"Bilwisheim",18.6,17.8,64.7,87.7,106,124.5,150,67.5,88.3,95
"Bischwiller",23.5,12.7,69.6,92.7,110.9,132,157.5,75,95.8,102.5
"Brumath",16.5,11.8,62.6,85.7,103.9,119.7,145.2,62.8,83.5,90.3
"Dalhunden",28.8,27.2,74.9,98,116.2,137.8,163.3,80.9,101.6,108.4
"Dauendorf",29.3,17.1,75.4,98.5,116.7,126.2,151.7,69.3,90,96.8
"Donnenheim",20.4,19.4,66.5,89.6,107.8,124.4,149.8,67.4,88.1,94.9
"Drusenheim",24.6,22.8,70.7,93.7,112,133.6,159,76.6,97.3,104.1
"Eckwersheim",15.2,17.6,61.3,84.3,102.6,122.2,147.7,65.2,86,92.8
"Forstfeld",33.3,29.9,79.3,102.4,120.6,142.3,167.7,85.3,106,112.8
"Fort-Louis",33.8,30.5,79.9,103,121.2,142.9,168.3,85.9,106.6,113.4
"Gambsheim",18.7,23.2,64.8,87.9,106.1,127.8,153.2,70.8,91.5,98.3
"Geudertheim",20.2,16.2,66.3,89.4,107.6,124.1,149.5,67.1,87.8,94.6
"Gries",23,12.7,69.1,92.1,110.4,132,157.4,75,95.7,102.5
"Haguenau",22.9,4.3,69,92,110.3,122.9,148.4,65.9,86.7,93.4
"Herrlisheim",22.8,21.7,68.9,92,110.2,131.8,157.3,74.8,95.6,102.3
"Hochstett",20.6,10.6,66.7,89.8,108,120.5,145.9,63.5,84.2,91
"Hoerdt",14.9,19.3,61,84.1,102.3,123.9,149.4,66.9,87.7,94.4
"Huttendorf",24.3,15.9,70.4,93.5,111.7,117.4,142.8,60.4,81.1,87.9
"Kaltenhouse",28.2,9.8,74.3,97.4,115.6,128.5,153.9,71.5,92.2,99
"Kauffenheim",33.3,29.9,79.3,102.4,120.6,142.3,167.7,85.3,106,112.8
"Kilstett",19.2,24.4,65.3,88.3,106.5,129,154.5,72,92.8,99.5
"Krautwiller",18.7,14.2,64.8,87.8,106,121,146.5,64,84.8,91.5
"Kriegsheim",20.3,10.2,66.4,89.5,107.7,120.8,146.3,63.8,84.6,91.3
"Kurtzenhouse",20.1,15.4,66.2,89.3,107.5,129.1,154.6,72.1,92.9,99.7
"La Wantzenau",16.7,21.9,62.8,85.9,104.1,126.5,152,69.5,90.3,97
"Leutenheim",31.7,28.4,77.8,100.9,119.1,140.7,166.2,83.7,104.5,111.2
"Mittelschaeffolsheim",19,18.2,65.1,88.2,106.4,124.9,150.4,68,88.7,95.5
"Mommenheim",18.2,12.2,64.3,87.4,105.6,118.8,144.2,61.8,82.5,89.3
"Morschwiller",25,16.6,71.1,94.2,112.4,119.9,145.3,62.9,83.7,90.4
"Neuhaeusel",34.4,31.1,80.5,103.6,121.8,143.4,168.9,86.5,107.2,114
"Niederschaeffolsheim",19.4,7.4,65.5,88.6,106.8,119.5,145,62.5,83.3,90
"Oberhoffen-sur-Moder",25.5,12.5,71.6,94.6,112.9,131.2,156.6,74.2,94.9,101.7
"Offendorf",22.8,23.2,68.9,92,110.2,131.8,157.3,74.8,95.6,102.3
"Ohlungen",26.9,12.9,73,96.1,114.3,125.6,151.1,68.6,89.4,96.1
"Olwisheim",18.4,19.3,66,89.1,107.3,126,151.5,69,89.8,96.5
"Roeschwoog",29.3,26,75.4,98.5,116.7,138.4,163.8,81.4,102.1,108.9
"Rohrwiller",20,16.2,66,89.1,107.3,129,154.4,72,92.7,99.5
"Rottelsheim",17.9,9.9,64,87.1,105.3,120.5,146,63.5,84.3,91
"Rountzenheim",27,23.6,73.1,96.2,114.4,136,161.5,79,99.8,106.5
"Schirrhein",29.2,15.9,75.3,98.4,116.6,134.5,160,77.5,98.3,105
"Schirrhoffen",29.4,18.5,75.5,98.6,116.8,137.1,162.6,80.1,100.9,107.6
"Sessenheim",25.7,22.6,71.8,94.9,113.1,134.7,160.2,77.7,98.5,105.2
"Soufflenheim",27.8,19.1,73.9,97,115.2,136.6,162.1,79.6,100.4,107.1
"Stattmatten",28.1,25,74.2,97.3,115.5,137.1,162.6,80.2,100.9,107.7
"Uhlwiller",25.5,15.8,71.6,94.7,112.9,122.7,148.2,65.7,86.5,93.2
"Vendenheim",11.4,18.7,57.5,80.6,98.8,123.3,148.8,66.3,87.1,93.8
"Wahlenheim",18.6,10.2,64.7,87.8,106,118.7,144.2,61.7,82.5,89.2
"Weitbruch",23.6,12.6,69.7,92.8,111,127.2,152.7,70.2,91,97.7
"Weyersheim",17.6,17.3,63.7,86.8,105,126.7,152.1,69.7,90.4,97.2
"Wintershouse",23,11.8,69.1,92.2,110.4,123,148.5,66.1,86.8,93.6
"Wittersheim",22,13.6,68.1,91.2,109.4,116.9,142.4,59.9,80.7,87.4
"Algolsheim",61,79.8,22.8,39.6,57.8,108.7,183.1,124.8,145.6,128.1
"Andolsheim",48.3,67.1,10.1,30.5,48.7,96,170.3,112.1,132.8,115.4
"Appenwihr",53,71.9,14.9,30.6,48.8,100.8,175.1,116.9,137.6,120.2
"Artzenheim",51,69.9,18.2,40.1,58.3,102.9,173.1,114.9,135.6,118.1
"Balgau",67.1,85.9,28.9,31.6,50.4,113.1,189.2,130.9,151.7,134.2
"Baltzenheim",56.2,75.1,23.7,45.5,63.7,108.4,178.2,120,140.8,123.3
"Biesheim",58.9,77.8,20.8,38.9,57.1,106.7,181,122.7,143.5,126.1
"Bischwihr",50,68.8,11.8,32.2,50.4,97.7,172.1,113.8,134.6,117.1
"Colmar",47.4,66.2,5.5,31.5,49.7,92.4,169.5,111.2,132,114.5
"Dessenheim",60.1,78.9,21.9,28.4,46.6,107.5,182.2,123.9,144.7,127.2
"Durrenentzen",54.5,73.3,17.9,39.2,57.4,103,176.6,118.3,139,121.6
"Fortschwihr",54.2,73,15.3,36.6,54.8,102.1,176.3,118,138.7,121.3
