,X,HTP,CH_Haguenau,CH_Colmar,CH_Mulhouse,CH_Belfort,CH_Epinal,Bar_le_Duc,CH_Forbach,CH_Metz__Mercy_,CHU_Nancy__Central_,choix1,choix2,choix3
784,SOUFFELWEYERSHEIM,10,"20,2","56,1","79,4","97,5","123,8","150,2","67,8","88,5","95,4",HTP,HTP,"CH,Haguenau"
149,SOUFFLENHEIM,"27,9","18,1","73,9","97,3","115,3","134,7","161,1","78,7","99,6","106,2","CH,Haguenau",HTP,HTP
382,SOULTZ-HAUT-RHIN,"68,8","88,4","23,6","21,4","32,3","88,9","183,9","131,4","152,2","127,8","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
175,SOULTZ-LES-BAINS,"21,9","42,7",44,"67,3","85,4","112,3","150,6","68,2","89,1","95,7",HTP,HTP,"CH,Haguenau"
791,SOULTZ-SOUS-FORETS,"38,4",20,"84,5","107,8","125,8","136,8","163,2","80,8","101,6","108,5","CH,Haguenau",HTP,HTP
538,SOULTZBACH-LES-BAINS,"59,8","79,3","13,3","44,1","56,1","78,4","172,9","122,4","143,1","116,8","CH,Colmar","CH,Colmar","CH,Mulhouse"
878,SOULTZEREN,"68,6","88,1","22,1","52,9","64,9","67,1","161,6","131,2","142,8","105,5","CH,Colmar","CH,Colmar","CH,Mulhouse"
824,SOULTZMATT,"67,2","86,7","21,9","28,5","40,4",97,"187,2","129,8","150,5","132,3","CH,Colmar","CH,Colmar","CH,Mulhouse"
251,SPARSBACH,"43,9","37,8","89,9","113,2","131,3","123,3","149,7","59,3","80,1","94,9","CH,Haguenau",HTP,HTP
610,SPECHBACH,"81,1","100,6","39,3","17,3","24,8","91,1","186,1","143,7","164,4",130,"CH,Mulhouse","CH,Mulhouse","CH,Belfort"
792,STAFFELFELDEN,"73,5",93,"28,2","18,5","29,8","86,4","181,3","136,1","156,9","125,3","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
109,STATTMATTEN,"28,8","25,3","74,9","98,2","116,2","136,4","162,9","80,4","101,4",108,"CH,Haguenau",HTP,HTP
491,STEIGE,"44,2","63,8","37,6","60,9",79,83,"146,3","106,8","127,5","91,4","CH,Colmar","CH,Colmar",HTP
458,STEINBACH,"76,6","96,2","31,3","21,4","28,7","81,2","176,2","139,2","157,4",120,"CH,Mulhouse","CH,Mulhouse","CH,Belfort"
558,STEINBOURG,"31,2","26,6","69,1","92,4","110,4","105,2","131,7","49,2",70,"76,9","CH,Haguenau",HTP,HTP
461,STEINBRUNN-LE-BAS,"79,7","99,2","41,1","6,9","36,1","98,4","193,4","142,3",163,"137,3","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
